Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
03/31/2021,03/31/2021,"PANDA EXPRESS 2684 1700 S BASCOM AVE CAMPBELL 95008 CA USA","Panda Express","Restaurants","Purchase","20.43"
03/28/2021,03/29/2021,"GRUBHUBBIRYANIHOUSE 1065 AVENUE OF THE AMERI 8775851085 10018 NY USA","Grubhub","Restaurants","Purchase","27.00"
03/28/2021,03/29/2021,"LYFT *RIDE FRI 7PM 548 MARKET ST. STE 68514 SAN FRANCISCO94104 CA USA","Lyft","Transportation","Purchase","15.84"
03/27/2021,03/29/2021,"SQ *T-MO 1775 MONTEREY HIGHWAY SAN JOSE 95112 CA USA","T-Mo","Restaurants","Purchase","15.02"
03/28/2021,03/29/2021,"SQ *HAPA'S BREWING COM460 LINCOLN AVE. SAN JOSE 95126 CA USA","Hapa's Brewing Company","Restaurants","Purchase","49.56"
03/27/2021,03/27/2021,"PALERMO 791 AUZERAIS AVE SAN JOSE 95126 CA USA","Palermo","Restaurants","Purchase","210.06"
03/27/2021,03/27/2021,"PET FOOD EXPRESS 3040 1902 S BASCOM AVE 408-371-5555 95008 CA USA","Pet Food Express","Other","Purchase","25.12"
03/27/2021,03/27/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 0516","Ach Deposit Internet Transfer From Account Ending In 0516","Payment","Payment","-5099.53"
03/27/2021,03/27/2021,"LYFT *RIDE FRI 6PM 548 MARKET ST. STE 68514 SAN FRANCISCO94104 CA USA","Lyft","Transportation","Purchase","13.72"
03/26/2021,03/27/2021,"SLIDERS BURGER 1645 W SAN CARLOS ST SAN JOSE 95128 CA USA","Sliders","Restaurants","Purchase","9.50"
03/26/2021,03/27/2021,"EDNA RAY CHINESE FOOD 1890 W SAN CARLOS ST SAN JOSE 95128 CA USA","Edna Ray Chinese Food","Restaurants","Purchase","10.80"
03/25/2021,03/25/2021,"SQ *T-MO 473 N 11TH ST SAN JOSE 95112 CA USA","T-Mo","Restaurants","Purchase","9.65"
03/24/2021,03/24/2021,"CHILI'S 1278 ECOMM 543 COLEMAN AVENUE 8009834637 95110 CA USA","Chili's 1278 Ecomm","Restaurants","Purchase","39.00"
03/22/2021,03/24/2021,"CASA DE CLEANERS 1739 W SAN CARLOS ST SAN JOSE 95128 CA USA","Casa De Cleaners","Other","Purchase","55.35"
03/23/2021,03/23/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","0.99"
03/22/2021,03/22/2021,"BACK A YARD GRILL 1011 E CAPITOL EXPY SAN JOSE 95121 CA USA","Back A Yard","Restaurants","Purchase","55.22"
03/21/2021,03/22/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","79.99"
03/21/2021,03/22/2021,"CHIPOTLE 1038 1815 S BASCOM AVE CAMPBELL 95008 CA USA","Chipotle Mexican Grill","Restaurants","Purchase","24.51"
03/20/2021,03/22/2021,"SUSHI ARASHI 1181 LINCOLN AVENUE SAN JOSE 95125 CA USA","Sushi Arashi","Restaurants","Purchase","68.15"
03/20/2021,03/22/2021,"EXXONMOBIL 994209521744 SAN CARLOS ST SAN JOSE 95128 CA USA","Mobil","Gas","Purchase","24.67"
