Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
02/26/2021,02/27/2021,"SLIDERS BURGER 1645 W SAN CARLOS ST SAN JOSE 95128 CA USA","Sliders","Restaurants","Purchase","3.82"
02/26/2021,02/27/2021,"SLIDERS BURGER 1645 W SAN CARLOS ST SAN JOSE 95128 CA USA","Sliders","Restaurants","Purchase","17.70"
02/26/2021,02/26/2021,"6 TO LATE 5 2051 SCOTT ST SAN JOSE 95128 CA USA","6 To Late","Alcohol","Purchase","50.39"
02/25/2021,02/26/2021,"GRUBHUBRISTORANTEDAMA 1065 AVENUE OF THE AMERI 8775851085 10018 NY USA","Grubhub","Restaurants","Purchase","46.00"
02/24/2021,02/24/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 0516","Ach Deposit Internet Transfer From Account Ending In 0516","Payment","Payment","-3000.00"
02/23/2021,02/24/2021,"FW LIQUOR & GROCERY 3127 WILLIAMSBURG AVE SAN JOSE 95117 CA USA","FW Liquor & Grocery","Alcohol","Purchase","13.10"
02/23/2021,02/24/2021,"TAQUERIA EDUARDO 1 3123 WILLIAMSBURG DR SAN JOSE 95117 CA USA","Taqueria Eduardo","Restaurants","Purchase","27.50"
02/22/2021,02/23/2021,"GRUBHUBSPICEUPKABABSB 1065 AVENUE OF THE AMERI 8775851085 10018 NY USA","Grubhub","Restaurants","Purchase","70.00"
02/21/2021,02/22/2021,"AMARIN THAI SAN JOSE 5205 PROSPECT RD #110 SAN JOSE 95129 CA USA","Amarin Thai Cuisine","Restaurants","Purchase","39.30"
02/21/2021,02/22/2021,"AMZN MKTP US*QH2EQ8PU3440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","7.64"
02/21/2021,02/22/2021,"AMZN MKTP US*O52JN42R3440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","7.16"
02/21/2021,02/22/2021,"LYFT *RIDE FRI 7PM 548 MARKET ST. STE 68514 SAN FRANCISCO94104 CA USA","Lyft","Transportation","Purchase","12.02"
02/20/2021,02/22/2021,"KENJI SUSHI. 385 SOUTH WINCHESTER BOU SAN JOSE 95128 CA USA","Kenji Sushi","Restaurants","Purchase","86.00"
02/21/2021,02/22/2021,"AMZN MKTP US*RZ5JK3QR3440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","71.04"
02/19/2021,02/20/2021,"THE GARRET 1777 S BASCOM AVE CAMPBELL 95008 CA USA","The Garret","Restaurants","Purchase","35.80"
02/20/2021,02/20/2021,"LYFT *RIDE FRI 5PM 548 MARKET ST. STE 68514 SAN FRANCISCO94104 CA USA","Lyft","Transportation","Purchase","11.88"
02/19/2021,02/19/2021,"6 TO LATE 5 2051 SCOTT ST SAN JOSE 95128 CA USA","6 To Late","Alcohol","Purchase","31.70"
02/18/2021,02/19/2021,"THE GARRET 1777 S BASCOM AVE CAMPBELL 95008 CA USA","The Garret","Restaurants","Purchase","30.55"
02/16/2021,02/17/2021,"CRATE&BARREL #404 232 SANTANA ROW SANTA CLARA 95050 CA USA","Crate and Barrel","Other","Purchase","81.76"
02/16/2021,02/17/2021,"PTICKET.COM-SAN JOSE 18302 IRVINE BLVD STE200 8005534412 92780 CA USA","Pticket.com-san Jose","Other","Purchase","63.00"
02/14/2021,02/15/2021,"SAFEWAY #1476 1300 W. SAN CARLOS ST. SAN JOSE 95126 CA USA","Safeway","Grocery","Purchase","156.47"
02/13/2021,02/15/2021,"SLIDERS BURGER 1645 W SAN CARLOS ST SAN JOSE 95128 CA USA","Sliders","Restaurants","Purchase","4.10"
02/13/2021,02/15/2021,"GRUBHUBSPICEUPKABABSB 1065 AVENUE OF THE AMERI 8775851085 10018 NY USA","Grubhub","Restaurants","Purchase","59.30"
02/11/2021,02/12/2021,"KFC/TB #150 250 N BASCOM AVE SAN JOSE 95128 CA USA","KFC","Restaurants","Purchase","24.33"
02/10/2021,02/11/2021,"LUIGI PIZZA PASTA 2495 WINCHESTER BLVD CAMPBELL 95008 CA USA","Luigi Pizza Pasta","Restaurants","Purchase","36.75"
02/10/2021,02/11/2021,"WESTELM.COM 3250 VAN NESS AVE 866-937-8356 94109 CA USA","West Elm","Other","Purchase","3875.10"
02/09/2021,02/10/2021,"SAFEWAY #1476 1300 W. SAN CARLOS ST. SAN JOSE 95126 CA USA","Safeway","Grocery","Purchase","63.59"
02/08/2021,02/09/2021,"CHIPOTLE 3069 1 S MARKET ST SAN JOSE 95113 CA USA","Chipotle Mexican Grill","Restaurants","Purchase","8.90"
02/01/2021,02/09/2021,"BESTBUYCOM**************** PENN AVE ***-BESTBUY ***** MN USA","Best Buy","Other","Purchase","65.53"
02/08/2021,02/09/2021,"NEW KRUNGTHAI 580 N WINCHESTER BLVD SAN JOSE 95128 CA USA","New Krungthai","Restaurants","Purchase","26.11"
02/06/2021,02/08/2021,"THE VESPER 394 E CAMPBELL AVE CAMPBELL 95008 CA USA","The Vesper","Restaurants","Purchase","32.00"
