Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
01/28/2021,01/29/2021,"SAFEWAY #1476 1300 W. SAN CARLOS ST. SAN JOSE 95126 CA USA","Safeway","Grocery","Purchase","18.55"
01/27/2021,01/28/2021,"LUIGI PIZZA PASTA 2495 WINCHESTER BLVD CAMPBELL 95008 CA USA","Luigi Pizza Pasta","Restaurants","Purchase","35.75"
01/26/2021,01/28/2021,"THE HOME DEPOT #0642 480 E HAMILTON AVE CAMPBELL 950080000 CA USA","Home Depot","Other","Purchase","13.09"
01/26/2021,01/27/2021,"TRINETHRA INDIAN SUPER4436 PEARL AVE SAN JOSE 95136 CA USA","Trinethra Indian Super Markets","Grocery","Purchase","17.44"
01/25/2021,01/27/2021,"AMZN MKTP US*5J5I77AU3440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","198.60"
01/25/2021,01/26/2021,"PRINGLESOFT.COM 2038 W GENEVA RD 605-220-5955 60615 IL USA","pringlesoft.com","Other","Purchase","47.33"
01/23/2021,01/25/2021,"WESTELM.COM 3250 VAN NESS AVE 866-937-8356 94109 CA USA","West Elm","Other","Purchase","1848.18"
01/23/2021,01/25/2021,"THE GARRET 1777 S BASCOM AVE CAMPBELL 95008 CA USA","The Garret","Restaurants","Purchase","27.20"
01/24/2021,01/25/2021,"AMZN MKTP US*L31V89JU3440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","13.08"
01/23/2021,01/25/2021,"UNA MAS MEX GRILL #QPS1640 A BASCOM AVE CAMPBELL 95008 CA USA","Una Mas Mex Grill #Qps","Restaurants","Purchase","21.33"
01/22/2021,01/23/2021,"GFM*GOFNDME* COMPUTERS500 ARGUELLO STREET, SUITE 300 REDWOOD CITY 94063 CA USA","GoFundMe","Other","Purchase","150.00"
01/22/2021,01/22/2021,"6 TO LATE 5 2051 SCOTT ST SAN JOSE 95128 CA USA","6 To Late","Alcohol","Purchase","28.04"
01/21/2021,01/22/2021,"MADRAS CAFE 1177 W EL CAMINO REAL SUNNYVALE 94087 CA USA","Madras Cafe","Restaurants","Purchase","27.79"
01/21/2021,01/22/2021,"THE GARRET 1777 S BASCOM AVE CAMPBELL 95008 CA USA","The Garret","Restaurants","Purchase","25.02"
01/21/2021,01/22/2021,"APPLEBEES 76300207630551 CURTNER AVE SAN JOSE 95125 CA USA","Applebee's","Restaurants","Purchase","26.74"
